Query,title,link,snippet
,Gouverner en temps de pandémie : L'État québécois face à la ...,https://occah.uqam.ca/en/publications/gouverner-en-temps-de-pandemie/,"Apr 14, 2022 — This @nytimes map of civilians killed in Bucha, Ukraine, provides a snap shot into the Russian army's war crimes. Senseless and brutal. Voir l' ..."
,Midi Humanitaire - « Duty of care » : Le cas du Cambodian ...,https://occah.uqam.ca/en/midi-humanitaire-duty-of-care-le-cas-du-cambodian-living-arts/,"Mar 14, 2022 — Tuesday 5 April 2022 at 12:30, En ligne ... Russia warns to expect more missile strikes on Kyiv after ... Justin Massie @justinmassie1."
,"Encore loin de la fin de la guerre en Ukraine, selon des experts",https://www.journaldemontreal.com/2022/03/30/lespoir-dune-entente-encore-une-fois,"Mar 30, 2022 — Mais même avec un accord de paix, la guerre ne sera pas finie pour autant, a tempéré Justin Massie, codirecteur du réseau d'analyse stratégique ..."
,Justin Trudeau et Vladimir Poutine: ni rencontre ni appel ...,https://www.journaldequebec.com/2022/03/12/ni-rencontre-ni-appel-depuis-2015,"Mar 12, 2022 — Justin Trudeau n'a eu aucune rencontre seul à seul et aucun appel ... aussi Justin Massie, professeur en science politique à l'UQAM."
Michael Day - Ret' Gen.,,,
,D. Michael Day (@DMike_Day) / Twitter,https://twitter.com/dmike_day?lang=en,"A breathtakingly brilliant yet devastating essay on Russia's war on Ukraine, by Eliot Cohen, one of America's best thinkers and writers on foreign and security ..."
,D. Michael Day - Canadian Global Affairs Institute,https://www.cgai.ca/d_michael_day,He retired in September 2015 and is currently waiting for the inevitable call from the PGA to play on tour. RECENT PUBLICATIONS BY D. MICHAEL DAY. Ukraine ...
,Prelude to the 2022 Russian invasion of Ukraine - Wikipedia,https://en.wikipedia.org/wiki/Prelude_to_the_2022_Russian_invasion_of_Ukraine,"Ten days later, Russian troops fired mortars at Ukrainian positions near the village of Shumy in Donbas, killing four Ukrainian servicemen."
,What Happened on Day 55 of the War in Ukraine - The New ...,https://www.nytimes.com/live/2022/04/19/world/ukraine-russia-war-donbas,"3 days ago — Russia rejected calls for a cease-fire to allow for civilian evacuations in Ukraine on Tuesday, saying that requests to pause the fighting were ..."
,Ukraine war in maps: Tracking the Russian invasion - BBC,https://www.bbc.com/news/world-europe-60506682,"3 days ago — Ukrainian forces retook large areas around Kyiv in early April after Russia abandoned its push towards Kyiv, which had begun in the first days ..."
,Latest Ukraine updates: Russia says first phase of war near end,https://www.aljazeera.com/news/2022/3/24/appalled-g7-countries-back-icc-war-crimes-probe-ukraine-liveblog,"Mar 24, 2022 — Ukraine war news from March 25: Russian general says Moscow will push to fully capture eastern region of Donbas."
Marcus Kolga - MLI,,,
,Brett Byers (@Brett__Byers) / Twitter,https://twitter.com/Brett__Byers/,MLI Senior Fellow Marcus Kolga recognized in Kremlin's “blacklist” ... What to do to level the playing field against #Russia in #Ukraine? My latest for.
,MLI Report Warns of Russian Disinformation Threat - New Pathway ...,https://newpathway.ca/mli-report-warns-of-russian-disinformation-threat/,"... MLI Senior Fellow, Marcus Kolga, author of the report entitled: Stemming the Virus: Understanding and responding to the threat of Russian Disinformation ..."
,The Russia-Ukraine information war: How propaganda is ...,https://globalnews.ca/news/8716376/russia-ukraine-information-war/,"Mar 29, 2022 — Russia-Ukraine conflict: How each country is attempting to win the ... engaging in,” Marcus Kolga, a leading expert on Russia and senior ..."
,Moscow's aggression brings about Putin's worst fears of NATO ...,https://www.hilltimes.com/2022/03/15/moscows-aggression-brings-about-putins-worst-fears-of-nato-expansion-says-latvian-defence-official/350084,"Mar 15, 2022 — Macdonald-Laurier Institute senior fellow Marcus Kolga said ... Even if the Russian offensive in Ukraine ended soon, Kolga said there is “no ..."
,Boycott Russia Today - Posts | Facebook,https://ne-np.facebook.com/boycottrussiatoday/posts/2917932964943075,I have not been in aBurger King since they moved into Crimea. ... MLI Senior Fellow Marcus Kolga [@kolga] has been sanctioned by the ... DW | 15.03.2022.
,DEFENDER'S DILEMMA - American Enterprise Institute,https://www.aei.org/wp-content/uploads/2021/10/Braw_Defenders-Dilemma_Finalized.pdf?x91208,"Crimea and covert military activities in eastern Ukraine. As a result of ... Derek Scissors, Sven-Christer Nilsson, Marcus Kolga, Timothy."
Roland Paris - U Ottawa,,,
,Roland Paris (@rolandparis) / Twitter,https://twitter.com/rolandparis,Professor and director of @uOttawaGSPIA. Associate fellow of @ChathamHouse. Former foreign policy advisor to PM Trudeau. Speaking only for myself.
,"The Current for Feb. 24, 2022 | CBC Radio",https://www.cbc.ca/radio/thecurrent/the-current-for-feb-24-2022-1.6362664,"Feb 24, 2022 — Today on The Current: looking at Russia's invasion of Ukraine in a special ... and Roland Paris, a professor of international affairs at the ..."
,Dr. Roland Paris | UBCevents,https://events.ubc.ca/roland-paris/,"Dr. Roland Paris. The Ukraine Crisis and Europe's Future: A New Cold War? ... School of Public and International Affairs at the University of Ottawa, ..."
,Opinion: We've reached a new post-Cold War era. What ...,https://www.theglobeandmail.com/opinion/article-weve-reached-a-new-post-cold-war-era-what-follows-may-be-even-more/,"Roland Paris. Special to The Globe and Mail. Published March 21, 2022. FILE PHOTO: Russian President Vladimir Putin attends a meeting with government ..."
Jonathan Paquin - U Laval,,,
,Jonathan Paquin (@PaquinJonathan) / Twitter,https://twitter.com/paquinjonathan,"Professeur science politique @pol_ulaval. Chercheur responsable @RAS_NSA. Foreign policy, international security, great powers, Squash lover and runner."
,Guerre en Ukraine : deux visions stratégiques irréconciliables,https://www.fss.ulaval.ca/evenements/guerre-en-ukraine-deux-visions-strategiques-irreconciliables,Cette conférence est organisée par le Cercle du savoir et sera prononcée par le professeur Jonathan Paquin. Comment en sommes-nous arrivés là ?
,Le régime ukrainien pourrait «ne pas tenir très longtemps,https://www.tvanouvelles.ca/2022/02/25/le-regime-ukrainien-pourrait-ne-pas-tenir-tres-longtemps-selon-un-expert,"Feb 25, 2022 — À lire aussi: Invasion russe en Ukraine: des «hackers» en guerre ... En ce qui concerne les sanctions économiques, Jonathan Paquin juge ..."
,Université Laval on The Conversation,https://theconversation.com/institutions/universite-laval-1407,"Driven by innovation and the pursuit of excellence, Université Laval is one of Canada's leading research universities, ranking 7th with $401 million in research ..."
,Rémy Carugati - Network for Strategic Analysis (NSA),https://ras-nsa.ca/expert/remy-carugati/,"Passionate about strategic studies, he works as a research assistant in the Department of Political Science under the supervision of Professor Jonathan Paquin."
,SciencePo_ulaval (@pol_ulaval) | nitter,https://nitter.net/pol_ulaval?cursor=HBaCgLK1g5%2FQzCkAAA%3D%3D,"Département de science politique de l'Université Laval. Québec, Canada ... Mon analyse: Même si #Russie gagne en #Ukraine, elle va perdre bcp plus."
,Conference - Canadian Global Affairs Institute,https://www.cgai.ca/canada_and_the_united_states_what_does_it_mean_to_be_good_neighbours,Bio: Jonathan Paquin is Assistant Professor of Political Science at Université Laval in Québec City. His research interests include Canadian foreign and ...
,"La Russie, une puissance résurgente. Études internationales",https://www.erudit.org/en/journals/ei/2019-v50-n3-ei06059/,"May 28, 2021 — Read issue volume 50, number 3, fall 2019 of the journal Études internationales on Érudit. Discipline: Law, Economics, Political Science."
,Participant Bios - Centre for International Policy Studies,https://www.cips-cepi.ca/the-ottawa-forum/participant-bios/,Jonathan Paquin is an Associate Professor of Political Science and Director of the International Peace and Security Program at Université Laval. He is the ...
Anessa Kimball - U Laval,,,
,Counting ...waiting.🏳️‍   (Eng/Fr) (@ProfKimball) / Twitter,https://twitter.com/profkimball?lang=en,"Koester Student Essay Competition 2022! $1250 for the best essay relating to Parliament, legislatures or legislators written by a community college, CEGEP, or ..."
,Ukraine: peu de risque de voir des soldats canadiens ...,https://www.tvanouvelles.ca/2022/02/24/ukraine-peu-de-risque-de-voir-des-soldats-canadiens-combattre-a-court-terme-1,"Feb 24, 2022 — Si on voit de nombreuses violations des droits humains, le discours va changer», anticipe Anessa Kimball. Si les Russes continuent d'avancer sur ..."
,Aurélie Campana | Faculté des sciences sociales | ULaval,https://www.fss.ulaval.ca/notre-faculte/repertoire-du-personnel/aurelie-campana,"aurelie.campana@pol.ulaval.ca ... Érick Duchesne, Alexandre Gajevic Sayegh, Anessa Kimball, Jonathan Paquin, Maxime Philaire et Christian Picard."
,Et si la Russie coupait l'approvisionnement de pétrole et de ...,https://ici.radio-canada.ca/nouvelle/1865802/russie-carburant-gaz-coupure-guerre-sanctions-pipeline-gazoducs,"Mar 2, 2022 — Selon Anessa Kimball, professeure au Département de science politique ... sur la sécurité internationale de l'Université Laval, si la Russie ..."
,Knocking NATO: Strategic and institutional challenges risk the ...,https://www.cgai.ca/knocking_nato_strategic_and_institutional_challenges_risk_the_future_of_europe_s_seven_decade_cold_peace,by AL Kimball — NATO faces challenges from Russia ranging from cybersecurity and media ... in response to strategic problems (Koremenos and Nau 2010; Kimball 2017).
,Russia's War on Ukraine and the Risk of Nuclear Escalation,https://www.armscontrol.org/issue-briefs/2022-02/FAQ-russia-ukraine,"Volume 14, Issue 3, Feb. 28, 2022. Media Contacts: Daryl Kimball, executive director (202-463-8270 x107); Shannon Bugos, senior policy analyst (202-463-8270 ..."
,Ukraine war: What would a 'rupture' in US-Russia relations ...,https://www.aljazeera.com/news/2022/3/28/ukraine-war-what-would-a-rupture-in-us-russia-relations-mean,"Mar 28, 2022 — Daryl Kimball, executive director of the Arms Control Association, a Washington-based advocacy group, said whether Moscow will go along with an ..."
Balkan Devlen - MLI,,,
,Tweets with replies by Balkan Devlen (@BalkanDevlen) / Twitter,https://mobile.twitter.com/balkandevlen/with_replies,"Senior Fellow @MLInstitute | Adj. Res. Prof. @CU_NPSIA | @superforecaster. Sanctioned by @Russia. Teach & write: foreign policy, forecasting/foresight, ..."
,Ukraine war in maps: Tracking the Russian invasion - BBC,https://www.bbc.com/news/world-europe-60506682,3 days ago — Fighting is intensifying in the east of Ukraine as Russia targets full control of the Donbas region and the south of the country.
,"Premiers, mayors, head of CBC all banned from visiting ...",https://www.cbc.ca/news/politics/russia-list-mayors-premiers-journalists-1.6426052,"4 days ago — New Russian sanctions target Canadian premiers, mayors, journalists · Terry Glavin, journalist and columnist · Balkan Devlen, senior fellow with ..."
,Defence and Security Foresight Group | University of Waterloo,https://uwaterloo.ca/defence-security-foresight-group/,"Balkan Devlen @BalkanDevlen ... Mar 21, 2022 ... Next week: MLI and @DSF_Group are co-hosting an event exploring how Russian information and influence ..."
,Post filter - Prism Ua,http://prismua.org/en/search/,"Russia Steps Up Its Attack Against Ukraine On Day 2 Of Invasion ... MLI Senior Fellow Balkan Devlen was joined by Dr. Hanna Shelest, Editor-in-Chief of ..."
,Canada's engagement in Ukraine,https://www.international.gc.ca/country-pays/ukraine/relations.aspx?lang=eng,Canada and the Russian invasion of Ukraine · On this page · Canada's diplomatic engagement · Canada's response to the illegal invasion and annexation of Crimea.
,The whole world would benefit from a Ukrainian victory over ...,https://www.atlanticcouncil.org/blogs/ukrainealert/the-whole-world-would-benefit-from-a-ukrainian-victory-over-russia/,"Apr 5, 2022 — When Vladimir Putin launched a full-scale invasion of Ukraine on February 24, ... Mali and the Central African Republic would be rid of the ..."
Dave Perry - CGAI,,,
,Tensions over Ukraine - Canadian Global Affairs Institute,https://www.cgai.ca/tensions_over_ukraine,"January 28, 2022. On this episode of Defence Deconstructed, David Perry is joined by John Barrett, LGen (retired) D. Michael Day, and Andrew Rasiulis to ..."
,Ukraine Update - Canadian Global Affairs Institute,https://www.cgai.ca/ukraine_update,"March 18, 2022. On this episode of Defence Deconstructed, David Perry speaks to LGen (ret'd) D. Michael Day about the recent developments in Ukraine and ..."
,Air Operations Above Ukraine - Canadian Global Affairs Institute,https://www.cgai.ca/air_operations_above_ukraine,"Apr 8, 2022 — Dave Perry is President of the Canadian Global Affairs Institute. ... Is there hope for peace as the Russia-Ukraine conflict continues?"
,Russia Moves Into Ukraine - Canadian Global Affairs Institute,https://www.cgai.ca/russia_moves_into_ukraine,"Feb 24, 2022 — February 24, 2022. On this episode of Defence Deconstructed, Dave Perry talks to Samuel Bendett about the recent developments in Russia's ..."
,David Perry at Canadian Global Affairs Institute,https://www.cgai.ca/tags/tags/david_perry,"Russia's invasion of Ukraine has pushed Canada to think about Arctic security. by Jacques Gallant (feat. David Perry), Toronto Star, March 20, 2022."
,Defence Deconstructed - Canadian Global Affairs Institute,https://www.cgai.ca/defence_deconstructed_podcast,"Defence Deconstructed”, hosted by Dave Perry, and released every Thursday, ... Russia's Invasion of Ukraine, One Week In March 4, 2022 ... February 25, 2022."
,Elections and Defence Policy - Canadian Global Affairs Institute,https://www.cgai.ca/elections_and_defence_policy,Defence Deconstructed is part of the CGAI Podcast Network and today's episode ... Dave Perry: David Perry is the Senior Analyst and Vice President with the ...
,David Perry at Canadian Global Affairs Institute,https://www.cgai.ca/tags/david_perry,"Pages tagged ""David Perry"" ... Russia's Invasion of Ukraine, One Week In ... David Perry), The Globe and Mail, April 19, 2022. Civilians and Ukrainian ..."
,Defence Operations at Canadian Global Affairs Institute,https://www.cgai.ca/tags/defence_operations,"David Perry Discusses Latest Ukraine/ Russia Situation. by Sue Deyell and Andrew Schultz (feat. David Perry), Curious Cast, March 14, 2022."
,David Perry at Canadian Global Affairs Institute,https://www.cgai.ca/tags/tags/tags/David_Perry?page=16,"Canadians can already feel the economic consequences of Russia's invasion of Ukraine. On March 11, CGAI & @CdnChamberofCom will host a webinar to help you make ..."
Sarah Teich - MLI,,,
,MA Graduate in Counter-Terrorism from Reichman University,https://www.timesofisrael.com/spotlight/ma-graduate-in-counter-terrorism-from-reichman-university/,"Apr 6, 2022 — How graduate Sarah Teich went on to a career fighting for justice and accountability for atrocity crimes and human rights abuses. 6 Apr 2022, 12 ..."
,Tweets with replies by Shuvaloy Majumdar ... - Twitter,https://twitter.com/shuvmajumdar/with_replies,Being predictable didn't deter Vladimir Putin. Our predictable weakness empowered his invasion of Ukraine. Ukrainians fighting for their sovereignty now are ...
,MLI experts available to comment on Russia's war against ...,https://heromag.net/mli-experts-available-to-comment-on-russias-war-against-ukraine,"Feb 26, 2022 — OTTAWA, ON (February 24, 2022): Russia has launched an unprovoked, ... Sarah Teich is a Senior Fellow at the Macdonald-Laurier Institute and ..."
,Lead international Magnitsky sanctions for Tigray - The Hill ...,https://www.hilltimes.com/2021/06/16/lead-international-magnitsky-sanctions-for-tigray/301795,"Jun 16, 2021 — Maria Reisdorf is a recent Queen's law graduate. Sarah Teich is an international human rights lawyer, a senior fellow at the Macdonald-Laurier ..."
,Teich: A new law could help Canada fight hostage-taking by ...,https://ottawacitizen.com/opinion/teich-a-new-law-could-help-canada-fight-hostage-taking-by-other-states,"Feb 12, 2021 — Canadians are routinely seized as hostages by terrorist groups and by authoritarian regimes including Turkey, China, Russia and Iran. It is time ..."
,Macdonald-Laurier Institute - Posts | Facebook,https://m.facebook.com/pages/category/Education/MacdonaldLaurierInstitute/posts/,A new paper by Sarah Teich and David Matas proposes how Canada can bring ... of Putin's military aggression and must act accordingly in Ukraine: Eugene ...
Aisha Ahmad - U Toronto,,,
,"The Current for March 18, 2022 | CBC Radio",https://www.cbc.ca/radio/thecurrent/the-current-for-march-18-2022-1.6388332,"Mar 18, 2022 — Today on The Current: Fighting Putin and climate change at once; ... comprised of political science experts Aisha Ahmad and Bessma Momani, ..."
,Aisha S. Ahmad - Faculty | Department of Political Science,https://politics.utoronto.ca/faculty/profile/260/,"Biography. Aisha Ahmad is an Associate Professor of Political Science at the University of Toronto, the Director of the Islam and Global Affairs Initiative and ..."
,'A watershed moment': U of T's Lucan Ahmad Way on how the ...,https://www.utoronto.ca/news/watershed-moment-u-t-s-lucan-ahmad-way-how-war-ukraine-could-reinvigorate-democracy,"Mar 9, 2022 — As Russian President Vladimir Putin's bloody invasion of Ukraine is poised ... 2022 (photo by Emin Sansar/Anadolu Agency via Getty Images)."
,People - Munk School of Global Affairs and Public Policy,https://munkschool.utoronto.ca/people/,"Aisha Ahmad is an Associate Professor of Political Science at the University of Toronto, the Director of the Islam and Global Affairs Initiative and a Senior ..."
,2016 Borders in Flux: Redrawing States - Munk School of ...,https://munkschool.utoronto.ca/mgc/past-conferences/home-3/borders-in-flux-redrawing-states/,Aisha Ahmad is an Assistant Professor in the Department of Political Science at the University of Toronto. Her work explores the political economy of ...
,Trinity in the News,https://magazine.trinity.utoronto.ca/news/,Stephen Scharper will co-lead one of the sessions; U of T News: 'We have a crucial role ... Aisha Ahmad joins the panel to discuss How the world see Canada?
,Articles by Aisha Ahmad's Profile - Muck Rack,https://muckrack.com/aisha-ahmad/articles,"International Security Professor, University of Toronto and Contributor, The Chronicle ... By Aisha Ahmad October 11, 2020 — 11.50pmIn any sustained crisis, ..."
,Tweets with replies by Political Science ... - Twitter,https://mobile.twitter.com/UTSC_PolSci/with_replies,utoronto.ca. 'A watershed moment': U of T's Lucan Ahmad Way on how the war in. As Russian President Vladimir Putin's bloody invasion of Ukraine is poised to ...
Shuvaloy Majumdar - MLI,,,
,"Premiers, mayors, head of CBC all banned from visiting ...",https://www.cbc.ca/news/politics/russia-list-mayors-premiers-journalists-1.6426052,"4 days ago — New Russian sanctions target Canadian premiers, mayors, journalists · Shuvaloy Majumdar, senior fellow with the Macdonald-Laurier Institute ..."
,Shuvaloy Majumdar (@shuvmajumdar) / Twitter,https://twitter.com/shuvmajumdar,Former Director of Policy to Canada's Foreign Minister; Foreign Policy Director & Munk Senior Fellow @MLInstitute. Proud Calgarian.
,Macdonald-Laurier Institute | LinkedIn,https://ca.linkedin.com/company/macdonald-laurier-institute,"Since 2010, MLI has provided leading commentary, insightful analysis and high-level research on subjects ... Click here to view Shuvaloy Majumdar's profile ..."
,"Why Britain, Canada Are So Forward-Leaning on Ukraine",https://foreignpolicy.com/2022/01/25/britain-canada-ukraine-russia-military/,"Jan 25, 2022 — Britain, Canada Flex Hard-Power Muscles in Showdown With Russia ... is in our partnership with the United States,” said Shuvaloy Majumdar, ..."
,Shuvaloy Majumdar: Canada must fight for Hong Kong's ...,https://nationalpost.com/opinion/shuvaloy-majumdar-canada-must-fight-for-hong-kongs-freedom,"May 28, 2020 — While China bided its time, Pax Americana found expression throughout the subsequent decade. The 1994 Budapest Memorandum guaranteed Ukrainian ..."
,Opinion: Canadians are clear-minded about our allies and ...,https://thehub.ca/2022-01-20/canadians-are-clear-minded-about-our-allies-and-adversaries/,"Jan 20, 2022 — Chinese President Xi Jinping, center left, and Russian President Vladimir ... Shuvaloy Majumdar is Munk Senior Fellow and Foreign Policy ..."
,Russia-Ukraine war impact: India's grain exporters are ...,https://economictimes.indiatimes.com/news/economy/foreign-trade/russia-ukraine-war-impact-indias-grain-exporters-are-gearing-up-to-fill-the-huge-gaps-in-global-stocks-especially-wheat/articleshow/90464830.cms,"ET Bureau Last Updated: Mar 26, 2022, 11:00 PM IST ... Ukraine is one of the world's top wheat exporters, and Russia and Ukraine together have a 25% share ..."
,Why does Russia want Ukraine so badly? Here's what a ...,https://www.firstpost.com/world/why-does-russia-want-ukraine-so-badly-heres-what-a-geography-book-tells-us-10391451.html,"Feb 20, 2022 — Analysts say Putin wants to create a Russian empire and Ukraine is a crucial part of his plan. Abhijit Majumder February 20, 2022 10:49:57 ..."
Ken Coates- MLI,,,
,Stephen Nagy: Russia or the West? Which way China tilts will ...,https://thehub.ca/2022-03-17/china-decides-between-russia-and-the-west/,"Mar 17, 2022 — Russia's invasion of Ukraine has placed China and its leadership in an ... Ken Coates: No, Canada is not a dictatorship—but government ..."
,Saskatoon News | Local Breaking | CTV News Saskatoon,https://saskatoon.ctvnews.ca/local-news?cache=enzvogqbavvrgvzn%3FclipId%3D104056,Sask. high school students tackle Ukraine-Russia war at model UN debate ... Alex Brown speaks with U of S professor Ken Coates about breaking down the ...
,"Russia-Ukraine war updates for April 12, 2022 - CNBC",https://www.cnbc.com/2022/04/12/russia-ukraine-live-updates.html,"Apr 13, 2022 — U.K. intelligence suggests that Russian forces are preparing for what is expected to be a large and more focused push into the east of ..."
,"World leaders condemn atrocities alleged in Bucha, Ukraine",https://www.washingtonpost.com/world/2022/04/03/russia-ukraine-war-news-putin-live-updates/,"Apr 3, 2022 — Key updates. Here's the status of some key Ukrainian cities under Russian attack ... April 3, 2022|Updated April 4, 2022 at 1:09 a.m. EDT."
,Oil prices on track for near 4% weekly decline on demand ...,https://www.nasdaq.com/articles/oil-prices-on-track-for-near-4-weekly-decline-on-demand-concerns,"This has been the least volatile week of trade since Russia launched its invasion of Ukraine on Feb. 24, sparking sanctions that cut Russian oil supply and ..."
,Ukraine 'retakes whole Kyiv region' as Russia looks east - Al ...,https://www.aljazeera.com/news/2022/4/3/ukraine-retakes-whole-kyiv-region-as-russian-troops-pull-back,"Apr 3, 2022 — INTERACTIVE Russia-Ukraine map Who controls what in Kyiv DAY 39 (Al Jazeera) ... AFP said all were wearing civilian clothes – winter coats, ..."
,Untitled,http://dirasat.net/uploads/research/1513401.pdf,"Taylor, William B. (February 1, 2022) Russia's Assault on Ukraine and the ... Kagan, Frederick W. (February 3, 2022) The 'Ukraine' crisis is only sort of ..."
,Charles County election 2022 primary candidates | Local News,https://www.somdnews.com/independent/news/local/charles-county-election-2022-primary-candidates/article_bff78d2e-b2b6-5493-9f18-cfba75a42c7a.html,6 days ago — Charles County election 2022 primary candidates ... Kenneth B. Lee. Jesse Peed. State House District 27A ... Thomasina “Sina” Coates*.
Richard Shimooka- MLI,,,
,"Premiers, mayors, head of CBC all banned from visiting ...",https://www.cbc.ca/news/politics/russia-list-mayors-premiers-journalists-1.6426052,"4 days ago — Russia's action comes after Canada announced its own round of sanctions ... Richard Shimooka, fellow at the MacDonald-Laurier Institute; ..."
,Macdonald-Laurier Institute (@MLInstitute) / Twitter,https://twitter.com/mlinstitute?lang=en,"Devlen is one of 4 MLI experts who have been sanctioned by #Russia. ... @BalkanDevlen. , and Richard Shimooka were added to Russia's ""stop list."" #cdnpoli."
,Canada has vital stake in Ukraine outcome but 'no currency or ...,https://nationalpost.com/news/world/canada-has-vital-stake-in-ukraine-outcome-but-has-no-currency-or-heft-to-mediate-experts,"Jan 25, 2022 — Richard Shimooka, a senior fellow with the Macdonald-Laurier Institute, ... Canada needs to convince Putin that Ukraine isn't a gamble worth ..."
,Macdonald-Laurier Institute | LinkedIn,https://cr.linkedin.com/company/macdonald-laurier-institute,"Since 2010, MLI has provided leading commentary, insightful analysis and ... Canada's defence budget fails to address serious gaps: Richard Shimooka in the…"
,Grim update from Mariupol in Ukraine: Richard Shimooka on ...,https://almooon.com/grim-update-from-mariupol-in-ukraine-richard-shimooka-on-ctv-news/,"Apr 14, 2022 — MLI Senior Fellow Richard Shimooka spoke with CTV News about the recent, unconfirmed reports that the Russians have used chemical agents in ..."
,The Saturday Debate: Does Canada need to buy new fighter ...,https://www.thestar.com/opinion/contributors/the-saturday-debate/2021/08/14/the-saturday-debate-does-canada-need-to-buy-new-fighter-jets.html,"Aug 14, 2021 — Richard Shimooka and Bianca Mugyenyi discuss in this week's debate. ... as shown by Russia's incursion into Crimea and Ukraine and China's ..."
Bessma Momani - U Waterloo,,,
,Dr. Bessma Momani | University of Waterloo,https://uwaterloo.ca/scholar/bmomani/home,"Russia's invasion of Ukraine has significantly hit recoveries in many countries. We have downgraded global growth for 2022 from 4.4% to 3.6%, and for 2023 from ..."
,Dr. Bessma Momani | University of Waterloo,https://uwaterloo.ca/scholar/bmomani,Dr. Bessma Momani is Full Professor in the Department of Political Science and ... only 41% of the electorate voted for him in 2022 (down from 49% in 2017).
,Contact | Dr. Bessma Momani | University of Waterloo,https://uwaterloo.ca/scholar/bmomani/contact,"Russia has deployed up to 20,000 mercenaries from Syria, Libya and elsewhere in its new offensive in Ukraine's Donbas region, sent into battle with no heavy ..."
,Op-eds | Dr. Bessma Momani | University of Waterloo,https://uwaterloo.ca/scholar/bmomani/op-eds,Syrian death and destruction: A win-win for Putin and Erdogan. ... BREAKING: Ukraine says it expects to be granted EU candidate status in June.
,Research Team | Dr. Bessma Momani | University of Waterloo,https://uwaterloo.ca/scholar/bmomani/research-team,"D., University of Toronto, 2022) is a Postdoctoral Fellow working with Dr. Bessma Momani on projects relating to identity, democracy, disinformation, and social ..."
,Opinion: When will the war in Ukraine end? - The Globe and ...,https://www.theglobeandmail.com/opinion/article-when-will-the-war-in-ukraine-end/,"Apr 11, 2022 — Bessma Momani is professor at the University of Waterloo and senior ... Watching the horror of the Russian invasion of Ukraine, there is a ..."
,Online Talk: Russia's War in Ukraine and its Impact on the ...,https://mideast.wisc.edu/2022/03/22/online-talk-russias-war-in-ukraine-and-its-impact-on-the-middle-east/,"Mar 22, 2022 — On February 24, 2022, Russia launched a large-scale invasion of ... Bessma Momani , Professor of Political Science, University of Waterloo."
